Unique Types (6), Instances (337):
1 (26): Multiple glosses found for lemma
2 (281): Multiple glosses found for unicode
3 (1): No matching entry found in glosses, but has English gloss in tree
4 (2): No matching entry found in glosses, but has glosses in tree
5 (1): Unique glosses found for lemma
6 (26): Unique glosses found for unicode

Solution: Unique glosses found for unicode τασσόμενος for UGNT morphId 400080090081	= [placed|受派~的]
Solution: Multiple glosses found for unicode ἵνα for UGNT morphId 400090040091	= [to|是] [this was to|是要] [to|好叫] [that|] [so that|] [to|] [so that|为] [so that|意思是] [so that|好] [that|让] [so that|为了] [to|使] [so that|使] [to|要] [to|才] [to|叫] [that|要] [that|使] [so|恐怕] [to|好] [that|免得] [that|为] [to|去] [so that|免得] [to|为要] [that|好] [to|为了] [that|故] [that|叫] [that|容] [in order to|为] [that|即] [to|让] [in order that|要] [that|那] [in order to|要] [in order that|为] [so that|让] [to|为] [to|以便] [so that|以致] [so that|叫] [for|免得] [so that|便] [to|要看] [in order that|要叫] [so that|要] [for|让] [so that|以使] [to|如此] [to|以使] [that|要使] [so that|因此] [so that|好让] [so that|为的是] [so that|要让] [that|若] [that|好让] [to|是要] [that|以使] [to|而] [for|] [that|要叫] [so that|好叫] [so that|是] [that|就是] [that|是] [when|] [so that|好使] [in order that|好] [that|以] [so that|这样] [in order that|好叫] [in order that|使] [so as to|是] [that|以便] [that|好使] [in order to|为了] [to|（使] [so that|（不至于] [so|（那么] [in order that|为了] [in order to|为的是] [so that|为要使] [in order that|要使] [that|（求] [that|便] [then|使] [that|（使] [that|（要] [that|愿] [that|好叫] [so that|只愿意] [that|是因为] [to|（要] [in order that|好让] [that|为了] [to|（这] [so that|要叫] [so that|（以] [so that|要使] [so that|是要] [to|（当]
Solution: Multiple glosses found for unicode προσελθὼν for UGNT morphId 400090180081	= [came|进前来] [came|前来] [approached|前来] [came up|上~跟前来] [went|来] [came up|来] [came|上前来] [went|去] [came|走上前去] [came|进前] [came|来] [went up|到~跟前] [came up|上前去] [went|上前] [went|去见] [went|上去]
Solution: Multiple glosses found for unicode ἀκουέτω for UGNT morphId 400110150051	= [let him hear|应当听] [let him hear|就应当听]
Solution: Multiple glosses found for unicode καὶ for UGNT morphId 400130040161	= [and|和] [and|也] [and|又] [and|乃] [and|而] [and|且] [and|就] [but|只是] [and|] [then|并且] [and|因为] [and|并] [and|于是] [and|而且] [and|倒] [and|并且] [and|接着] [so|就] [and|既] [then|就] [and|便] [and|再] [than|而] [also|连~也] [as well|连~也] [even|也] [and|这样] [also|也] [and yet|尚且] [and|然后] [if|又] [and|但] [and|（接着] [and|虽] [and|却] [but|可是] [and|这时] [with|并且] [so|一~就] [and|一~就] [then|接着] [and|这时候] [even|连~也] [when|既~就] [have ~ to do|和] [and|於是] [and|是] [including|和] [but|就] [that|并且] [then|（接着] [and|还有] [and|也一样] [both|连] [even|就是~也] [and|竟] [now|] [and|也~也] [yet|但] [and|又~又] [but|但是] [and|另外] [but|却] [but|而] [and|后来] [then|于是] [and|既~就] [also|又] [thus|竟] [also|连] [and|还] [and|带] [and|以及] [and|好] [now|而] [and|而又] [but|但] [also|和] [and|或] [so|于是] [and|还是] [also|都是] [and|反倒] [then|故] [and|只是] [and|仍] [and|结果] [then|又] [so|便] [and|现在] [even|一~就] [and|可是] [but|仍] [and|即] [and|甚至] [then|并] [when|又] [also|而] [just then|就] [have ~ to do with|和] [even|且] [and|连~也] [and|然而] [and|那时] [when|而] [now|那时] [then|而] [then|那时] [and|就有] [then|这样] [but|后来] [and|就是~也] [with|和] [so|於是] [then|也] [when|於是] [and|有的] [and|所以] [then|便] [and|才有] [and yet|也] [now|接着] [yet|却] [even|甚至] [also|还] [then|当下] [and|那么] [indeed|其实] [and|故] [both|或] [then|后来] [then|这时候] [with|同] [then|於是] [when|就] [but|倒] [so|又] [then|那时候] [and|一] [even|纵然] [so|而] [yet|就] [both|有] [or|和] [meanwhile|] [then|] [also|] [and|况且] [indeed|] [and|当时] [but|] [and|零] [yet|可是] [and|他] [that|] [when ~ saw|看见] [while|] [that|也] [also|不但] [and|不但] [with|] [either|连~也] [and|只要~就] [|] [even|竟然] [and|跟] [and|一旦~就] [even|居然] [that|就] [and|若] [when|] [so|也] [and|的] [even|] [if|] [also|竟] [also|就] [indeed|就是~也] [even|又] [very|就是~也] [so|] [even|甚至于] [even|连] [even|既] [and|纵然] [too|也] [and then|然后] [then|那么] [when|和] [also|甚至于] [but|然而] [both|就是~也] [and|其实] [and|可见] [and|才] [but|并且] [and|且在] [also|都] [and|尚且] [indeed|且] [yet|然而] [both|还] [and yet|还是] [while|而] [and then|就] [even|即使~也] [though|而] [and|但是] [and yet|而] [both|] [even|（他就是] [also|也（要] [and|事实上] [also|连~都] [both|也] [yet|其实] [although|确] [and|此外] [and yet|就] [and|虽然~却] [also|也（就是] [and|同] [and|以后] [and|边~边] [and|反而] [with|又] [yet|倒] [so|就是] [even|倒] [both|并] [both|却] [and|并艟] [or|] [and|只] [that|竟] [so|既~便] [or|也] [and|虽然~还] [including|也] [even|还] [indeed|就] [even|竟] [with|还] [whether|] [or|又] [also|且] [and|一面~一面] [and|后] [and|既然] [and yet|却] [even|甚而] [also|也是] [and|再者] [and|且（呼召] [that|而] [also|且也] [and|就是] [and|及] [indeed|也] [and ~ as well|也] [both|又] [indeed|实际上] [both|两样都] [both ~ and|] [then|以后] [indeed|还是] [and|同样] [even|真的] [even|还是] [even|或] [and|既然~就] [and|（而] [either|] [or|或] [indeed|并且] [in fact|也] [indeed|又] [with|也] [and|虽然~还是] [then|还] [even|连~都] [also|并且] [for|就] [even|就] [by|] [indeed|真地] [even|虽然~却] [even|（虽然] [only|却] [and then|又] [as well|] [also|（还] [even|但] [but|居然] [and|不过] [and|以至于] [and|如此] [also|仍然] [and|（又] [even|（又] [also|连~也都] [even|（甚至] [and|或是] [even|和] [indeed|真的] [even|既~就] [whether|或] [and|以致] [also|（而] [and|既~又] [indeed|还] [so|后来] [moreover|也] [both|不但] [as well|而] [also|同样] [and|虽然] [both|连~也] [and|（又 ] [and|连] [or|或者] [so|这样] [though|] [and|更] [now|再者] [indeed|实在] [when|另] [both|和] [and|因此] [even|虽] [and|还要] [and|尚且~何况] [indeed|只是] [as well|便] [also|再] [now|并且] [also|因为] [and|确] [but|至于] [as well|也] [nor|也] [even though|和] [and|如今] [yet|还] [and|甚至~也] [even|即使~还] [but|其实] [and|（要] [but|还要] [yet|也] [also|（同] [and|随后] [but|及] [then|随后] [and|连~带] [but|于是] [and yet|还] [even|并且] [nor|和]
Solution: Multiple glosses found for unicode τούτου for UGNT morphId 400130220181	= [of this|这] [this|这] [this|此] [this|这事] [|这] [this|今] [|今] [of this |这地步] [this |这] [this|这一种] [this|这话] [this time|此] [this man|这人] [this|这一点] [of this|这？] [this|这个] [this incident|此] [|这个] [of this one|这个人的] [this one|这个人] [|] [this|这句] [and this|这一来] [this|这？] [of this|] [of this|今] [this|] [this|（此] [for this|（此] [of this one|这]
Solution: Multiple glosses found for unicode ὁ for UGNT morphId 400140040041	= [the one|那] [the|] [|] [he|那] [the|那颗] [he|约瑟] [|这] [he|那一位] [|他] [he|] [the|那] [he|耶稣] [|的] [|者] [you|] [the|一样] [who|的] [he|者] [the ones|者] [the one|者] [this|] [the|固然] [the one|] [the son|儿子] [|那] [he|谁] [he|人] [the one|人] [the one|那位] [who|那] [|而] [he|他] [the|者] [he|主人] [the|这] [this|这] [|耶稣] [the|是] [the one|谁] [he|家主] [the|而] [the|於是] [he|那人] [the|即] [that|的] [the one|的] [that|] [it|者] [he|彼得] [the|就] [he|彼拉多] [the one|这] [one|有一位] [the|那位] [the man|那] [jesus|耶稣] [him|] [and|] [that|即] [he|瞎子] [to the|对] [who|] [one|他] [one|那个人] [a man|一个人] [the|这个] [the|那块] [he|那青年人] [he|约翰] [them|] [one|那] [this|的] [he|西门] [the|的] [he|园丁] [he|仆人] [but the|] [the one|这个] [he|父亲] [he|管家] [he|（同）者] [the|人] [that|（就是] [these things|] [the|对] [it|那位] [the|这种] [|人] [he|信] [one|] [the|那个] [he|这] [he|来] [he|相信] [the one|那一位] [the one|吃] [the one|~ 的人] [the one|作见证] [one|那一位] [|活着] [|那个] [the|那些] [the one|惜爱] [the one|弃绝] [the|差] [those|那] [the|那句] [the one|那人] [who|人] [the|这件] [he|多马] [the|（是] [one|人] [the|关] [it|] [those things|] [he|司提反] [he|那位] [he|主] [the man|那个] [he|哥尼流] [anyone|那] [the|但是] [the|这位] [he|百夫长] [he|保罗] [others|的] [that|这个] [you|你这] [you|这] [is the|] [her|] [for those|那些] [|若] [the one|他们] [a human being|你这] [what|] [the man|] [the|但] [the one|（者] [|（者] [he|神] [the one|（人] [one|有人] [another|有人] [this|那] [the|那一位] [the one|他] [he|的] [he|（者] [thehis|] [someone|] [|那位] [the|（那] [the same|] [the one|（那] [The|] [who|有一位~的人] [one who|那] [a person|] [the|（者] [did|] [this man|那] [he|这位] [was|] [be the|] [the One|那] [which pay|] [who|他] [that|那] [who|（者] [those|] [the one|那~的] [the one|一个人] [him|那位] [being|的] [was|（是] [the one|那一位啊] [which|] [the|那条] [the angel|（乃] [|那一位] [such|] [the one|那些]
Solution: Unique glosses found for unicode Ἰωάννης for UGNT morphId 400140040051	= [John|约翰]
Solution: Multiple glosses found for unicode μέσον for UGNT morphId 400140240051	= [midst|间] [middle|当中] [within|内] [midst|中间] [between|中间] [middle|从当中] [between|在中间] [midst|当中] [middle|半] [between|中] [in ~ midst|在~中] [midst|中]
Solution: Multiple glosses found for unicode θαλάσσης for UGNT morphId 400140240071	= [of ~ sea|沿海的] [sea|海面] [of ~ sea|海里] [of ~ sea|海的] [of ~ sea|海] [sea|海] [sea|海边] [of ~ sea|海中的] [of ~ sea|海里的] [sea|沧海] [of ~ sea|海边]
Solution: Multiple glosses found for unicode ἦν for UGNT morphId 400140240081	= [was|是] [was|在] [he stayed|住] [he was|他] [there was|有] [it was|是] [was|曾] [he was|他~在] [it would have been|倒是] [were|有] [was|当时] [he was|耶稣在] [he was|跟] [was|有] [stayed|留] [he was|耶稣~在] [he was|他在] [she was|他有~了] [was|正] [were|是] [he had|他] [he was|正] [he was|她们] [had been|是] [it was|那石头~是] [had|有] [were|在] [were|（正] [kept|（直] [was|曾是] [he was|住] [it had been|得了] [were|正] [he had been|他在] [was|] [he was|他正] [was|与~同在] [it was|这话~是] [she had|有] [she was|] [he was|] [was|正在] [he was|他还] [was|素来~是] [had|] [had|是] [was|就是] [he was|他本是] [had ~ been|那时是] [was|从前~在] [there was|到了] [there was|原有] [had been|留] [was|到了] [was|来] [he was|做] [there was|起了] [he had been|从前是] [had been|从前是] [it was|就是] [he was|在] [it was|那坟墓是] [it was|是~了] [he was|亚那是] [was|做] [it was|] [it had been|是] [it was|那日是] [it was|在] [it was|牌子是] [it was|这日是] [was|就在] [had been|原在] [was|他~在] [was|有~了] [there was|是] [he was|是] [he was|他~和~在一起] [he had|圣灵~在] [was|患了] [he was|巴拿巴是] [herod had been|希律是] [was|常~在] [it were|是] [had been|已经在] [had|附] [he had|] [was|已经在~了] [they were|是] [he was|他有] [have been|是~了] [he has been|] [were|为] [he was|利未~在] [was|能达到] [he were|他在] [he ~ be|作] [he was|自己是] [it would have been|为] [was|就有] [was|本来~在] [was|他] [was|昔在] [who was|昔在] [was|先前有]
